Land;Jahr;vAreaCum;RabiesIncidence;RabiesIncidence(norm);TollwutKumuliert;finished
Austria;1987;5324.2;2042;1;3429;1
Austria;1988;15921.16;1786;0.874632713;5215;1
Austria;1989;36895.89;1890;0.925563173;7105;1
Austria;1990;108836.03;2514;1.231145935;9619;1
Austria;1991;204592.96;2640;1.292850147;12259;1
Austria;1992;303661.85;1117;0.547012733;13376;1
Austria;1993;353980.18;675;0.330558276;14051;1
Austria;1994;400217.93;254;0.124387855;14305;1
Austria;1995;448747.14;95;0.046523017;14400;1
Austria;1996;482705.31;14;0.006856024;14414;1
Austria;1997;509760.55;8;0.003917728;14422;1
Austria;1998;533841.65;3;0.001469148;14425;1
Austria;1999;550964;5;0.00244858;14430;1
Austria;2000;567563.94;2;0.000979432;14432;1
Austria;2001;586444.5;1;0.000489716;14433;1
Austria;2002;614520.96;24;0.011753183;14457;1
Austria;2003;640097.44;1;0.000489716;14458;1
Austria;2004;665673.92;1;0.000489716;14459;1
Austria;2005;700794.32;0;0;14459;1
Austria;2006;710338.24;1;0.000489716;14460;1
Austria;2007;729426.08;0;0;14460;1
Belgium;1987;4375.64;242;1;584;1
Belgium;1988;8751.28;514;2.123966942;1098;1
Belgium;1989;13126.92;842;3.479338843;1940;1
Belgium;1990;34850.37;144;0.595041322;2084;1
Belgium;1991;55460.37;29;0.119834711;2113;1
Belgium;1992;73269.59;34;0.140495868;2147;1
Belgium;1993;87985.28;2;0.008264463;2149;1
Belgium;1994;95226.54;61;0.252066116;2210;1
Belgium;1995;111559.1;213;0.880165289;2423;1
Belgium;1996;128171.28;44;0.181818182;2467;1
Belgium;1997;145031.56;9;0.037190083;2476;1
Belgium;1998;154830.02;1;0.004132231;2477;1
Belgium;1999;163845.61;1;0.004132231;2478;1
Belgium;2000;171852.27;0;0;2478;1
Belgium;2001;179858.93;0;0;2478;1
Belgium;2002;182102.49;0;0;2478;1
Belgium;2003;184346.05;0;0;2478;1
Czech Republic;1990;35069.88;1098;1;2810;1
Czech Republic;1991;78861.08;1097;0.999089253;3907;1
Czech Republic;1992;157767.46;551;0.501821494;4458;1
Czech Republic;1993;291558.26;422;0.384335155;4880;1
Czech Republic;1994;397912.7;220;0.200364299;5100;1
Czech Republic;1995;527486.2;178;0.162112933;5278;1
Czech Republic;1996;647460.46;237;0.215846995;5515;1
Czech Republic;1997;763745.98;238;0.216757741;5753;1
Czech Republic;1998;855117.42;85;0.077413479;5838;1
Czech Republic;1999;954418.67;214;0.194899818;6052;1
Czech Republic;2000;1042123.63;165;0.150273224;6217;1
Czech Republic;2001;1137719.51;35;0.031876138;6252;1
Czech Republic;2002;1252067.45;3;0.00273224;6255;1
Czech Republic;2003;1369511.41;0;0;6255;1
Estonia;2005;24762.75;266;1;580;1
Estonia;2006;108296.31;114;0.428571429;694;1
Estonia;2007;191829.87;4;0.015037594;698;1
Estonia;2008;275363.43;3;0.011278195;701;1
Estonia;2009;358896.99;3;0.011278195;704;1
Estonia;2010;442430.55;0;0;704;1
France;1987;2314.04;2068;1;4533;1
France;1988;7104.49;2223;1.074951644;6756;1
France;1989;35314.2;4214;2.037717602;10970;1
France;1990;129046.39;2984;1.442940039;13954;1
France;1991;282892.92;2165;1.046905222;16119;1
France;1992;466287.06;1284;0.620889749;17403;1
France;1993;598691.73;261;0.126208897;17664;1
France;1994;689773.08;99;0.04787234;17763;1
France;1995;791617.32;39;0.018858801;17802;1
France;1996;870324.41;17;0.008220503;17819;1
France;1997;909477.35;1;0.000483559;17820;1
France;1998;937124.65;3;0.001450677;17823;1
France;1999;953813.35;0;0;17823;1
France;2000;969372.73;0;0;17823;1
France;2001;979641.59;1;0.000483559;17824;1
France;2002;990315.27;1;0.000483559;17825;1
France;2003;1001433.99;0;0;17825;1
France;2004;1001433.99;3;0.001450677;17828;1
France;2005;1009758.94;0;0;17828;1
Germany;1984;14137.73;9909;1;20393;1
Germany;1985;45730.26;8695;0.877485115;29088;1
Germany;1986;134744.05;6679;0.674033707;35767;1
Germany;1987;283436.11;5482;0.553234433;41249;1
Germany;1988;465571.32;4950;0.499545867;46199;1
Germany;1989;646711.21;6830;0.689272379;53029;1
Germany;1990;891753.12;5566;0.561711575;58595;1
Germany;1991;1264687.79;3594;0.362700575;62189;1
Germany;1992;1677708.85;1422;0.143505904;63611;1
Germany;1993;1993153.92;839;0.084670502;64450;1
Germany;1994;2372886.71;1376;0.138863659;65826;1
Germany;1995;2772842.32;856;0.086386114;66682;1
Germany;1996;3131474.37;142;0.014330407;66824;1
Germany;1997;3406566.8;83;0.008376224;66907;1
Germany;1998;3592079.29;104;0.010495509;67011;1
Germany;1999;3719143.19;56;0.005651428;67067;1
Germany;2000;3834901.3;182;0.018367141;67249;1
